번호,구분,항목,학교명,주소,위도,경도,우편번호,전화번호,팩스번호,관할교육청,공립사립,사이트,홈페이지
8,고,G,계룡디지텍고등학교,대전광역시 동구 소랑길 64 (삼성동),36.3365648,127.434023,34613,042-630-6000,042-627-5328,시교육청,사립,Y,http://krdhs.djsch.kr
29,고,G,남대전고등학교,대전광역시 중구 보문로111번길 63 (대사동),36.3107358,127.4275707,35051,042-253-7111,042-222-1557,시교육청,사립,Y,http://ndjhs.djsch.kr
39,고,G,대덕고등학교,대전광역시 유성구 대덕대로556번길 158 (도룡동),36.3871925,127.3813672,34121,042-860-0307,042-861-1413,시교육청,공립,Y,http://daedeokhs.djsch.kr
42,고,G,대덕소프트웨어마이스터고등학교,대전광역시 유성구 가정북로 76 (장동),36.3918825,127.3633497,34111,042-866-8822,042-867-9900,시교육청,공립,Y,http://dsmhs.djsch.kr
51,고,G,대전가오고등학교,대전광역시 동구 신기로 71 (가오동),36.3106418,127.4545028,34691,042-280-3700,042-280-3790,시교육청,공립,Y,http://gaohs.djsch.kr
65,고,G,대전고등학교,대전광역시 중구 대흥로 110 (대흥동),36.3220349,127.4240267,34932,042-220-6100,042-220-6130,시교육청,공립,Y,http://djhs.djsch.kr
66,고,G,대전공업고등학교,대전광역시 유성구 진잠로42번길 35 (원내동),36.2969673,127.3185722,34231,042-540-2100,042-543-2387,시교육청,공립,Y,http://daegonghs.djsch.kr
67,고,G,대전과학고등학교,대전광역시 유성구 과학로 46 (구성동),36.3740616,127.3712181,34142,042-860-0214,042-863-5488,시교육청,공립,Y,http://djshs.djsch.kr
68,고,G,대전관저고등학교,대전광역시 서구 관저북로 94 (관저동),36.3107441,127.3380408,35358,042-540-2800,042-545-2866,시교육청,공립,Y,http://gjhs.djsch.kr
75,고,G,대전괴정고등학교,대전광역시 서구 가장로 15 (괴정동),36.3400127,127.3791505,35291,042-520-8413,042-528-9897,시교육청,공립,Y,http://goejeonghs.djsch.kr
79,고,G,대전구봉고등학교,대전광역시 서구 관저서로 36 (관저동),36.2956239,127.3309218,35376,042-540-3745,042-540-3799,시교육청,공립,Y,http://gubonghs.djsch.kr
83,고,G,대전국제통상고등학교,대전광역시 중구 서문로 47 (문화동),36.3135018,127.40741,34998,042-580-2585,042-582-6064,시교육청,공립,Y,http://dimhs.djsch.kr
93,고,G,대전노은고등학교,대전광역시 유성구 노은동로99번길 55 (노은동),36.3689947,127.3192306,34091,042-717-3600,042-476-1448,시교육청,공립,Y,http://noeunhs.djsch.kr
103,고,G,대전대성고등학교,대전광역시 중구 목동로 23 (목동),36.3325444,127.4074351,35825,042-250-3853,042-250-3899,시교육청,사립,Y,http://www.daeseong.hs.kr
104,고,G,대전대성여자고등학교,대전광역시 동구 대성2길 20 (가양동),36.3377093,127.4406962,34601,042-670-2000,042-632-0551,시교육청,사립,Y,http://dsghs.djsch.kr
107,고,G,대전대신고등학교,대전광역시 서구 오량1길 98 (복수동),36.3090805,127.3811451,35406,042-585-5901,042-583-8061,시교육청,사립,Y,http://dshs.kr
126,고,G,대전도안고등학교,대전광역시 유성구 원신흥남로 51 (원신흥동),36.3368208,127.3374176,34194,042-820-8600,-,시교육청,공립,Y,http://doanhs.djsch.kr
133,고,G,대전동산고등학교,대전광역시 중구 문화로 183 (문화동),36.3160523,127.4045008,34960,042-587-5211,042-587-5228,시교육청,사립,Y,http://djdongsanhs.djsch.kr
138,고,G,대전동신과학고등학교,대전광역시 동구 옥천로 423 (비룡동),36.3471628,127.4737045,34500,042-717-9400,042-717-9409,시교육청,공립,Y,http://ddsciencehs.djsch.kr
145,고,G,대전둔산여자고등학교,대전광역시 서구 갈마역로 33 (갈마동),36.3530976,127.3732385,35231,042-479-3800,042-488-6032,시교육청,공립,Y,http://djdunsan-ghs.djsch.kr
148,고,G,대전둔원고등학교,대전광역시 서구 대덕대로 101 (갈마동),36.3427902,127.373418,35273,042-530-3661,042-538-7120,시교육청,공립,Y,http://dunwonhs.djsch.kr
152,고,G,대전만년고등학교,대전광역시 서구 만년로 6 (만년동),36.3672757,127.3735349,35200,042-479-9600,042-488-7387,시교육청,공립,Y,http://mannyonhs.djsch.kr
175,고,G,대전반석고등학교,대전광역시 유성구 지족로 332 (지족동),36.3868436,127.3135398,34076,042-824-3022,042-824-3023,시교육청,공립,Y,http://banseokhs.djsch.kr
191,고,G,대전복수고등학교,대전광역시 서구 혜천로 66 (복수동),36.3030646,127.3733462,35409,042-580-1100,042-587-0603,시교육청,공립,Y,http://boksuhs.djsch.kr
224,고,G,대전생활과학고등학교,대전광역시 대덕구 동산초교로63번길 12 (오정동),36.3497526,127.4228656,34432,042-629-1300,042-636-3607,시교육청,사립,Y,http://djpshs.djsch.kr
239,고,G,대전성모여자고등학교,대전광역시 중구 대흥로 62 (대흥동),36.322771,127.4189482,34943,042-253-4134,042-222-4623,시교육청,사립,Y,http://seongmohs.djsch.kr
249,고,G,대전송촌고등학교,대전광역시 대덕구 선비마을로23번길 11 (송촌동),36.3634354,127.4459299,34404,042-620-5921,042-620-5909,시교육청,공립,Y,http://songchonhs.djsch.kr
260,고,G,대전신일여자고등학교,대전광역시 중구 부사로 48 (부사동),36.3083056,127.4348631,35058,042-221-1771,042-221-1776,시교육청,사립,Y,http://shinilhs.djsch.kr
268,고,G,대전여자고등학교,대전광역시 동구 용운로1번길 28-37 (대동),36.3297461,127.4471431,34656,042-630-5901,042-633-8846,시교육청,공립,Y,http://djghs.djsch.kr
269,고,G,대전여자상업고등학교,대전광역시 중구 대종로550번길 31 (선화동),36.3338534,127.421683,34831,042-254-4507,042-255-8319,시교육청,사립,Y,http://aramhs.djsch.kr
271,고,G,대전예술고등학교,대전광역시 유성구 월드컵대로308번길 33 (상대동),36.3464339,127.3327969,34198,042-825-2203,042-823-9547,시교육청,사립,Y,http://taejonarths.djsch.kr
276,고,G,대전외국어고등학교,대전광역시 서구 신갈마로 19 (내동),36.3366379,127.3654894,35280,042-537-0682,042-537-0687,시교육청,공립,Y,http://djflhs.djsch.kr
279,고,G,대전용산고등학교,대전광역시 유성구 용산2로 2-16 (용산동),36.4207782,127.3960279,34031,042-629-9201,042-934-9695,시교육청,공립,Y,http://dyshs.djsch.kr
304,고,G,대전이문고등학교,대전광역시 대덕구 석봉로 15 (석봉동),36.4476358,127.4228219,34317,042-930-0800,042-932-1633,시교육청,사립,Y,http://imunhs.djsch.kr
312,고,G,대전전민고등학교,대전광역시 유성구 전민로 63 (전민동),36.3980927,127.3984309,34053,042-870-0100,042-382-0255,시교육청,공립,Y,http://jeonminhs.djsch.kr
315,고,G,대전전자디자인고등학교,대전광역시 유성구 대덕대로 939 (화암동),36.4129598,127.3770185,34058,042-611-8311,042-864-1329,시교육청,공립,Y,http://djedhs.djsch.kr
318,고,G,대전제일고등학교,대전광역시 서구 배재로46번길 77 (도마동),36.3133418,127.3723642,35339,042-527-9661,042-527-9663,시교육청,사립,Y,http://jeilhs.djsch.kr
323,고,G,대전중앙고등학교,대전광역시 중구 대종로 634 (중촌동),36.3388858,127.4124062,34804,042-226-7604,042-252-6188,시교육청,사립,Y,http://djjahs.djsch.kr
330,고,G,대전지족고등학교,대전광역시 유성구 노은서로 202 (지족동),36.3779231,127.3157279,34082,042-717-1508,042-476-2710,시교육청,공립,Y,http://jijokhs.djsch.kr
335,고,G,대전체육고등학교,대전광역시 유성구 원신흥로40번길 6 (원신흥동),36.3367031,127.3430199,34195,042-820-5200,042-825-3446,시교육청,공립,Y,http://djcheyukhs.djsch.kr
347,고,G,대전한빛고등학교,대전광역시 중구 대둔산로 119-37 (안영동),36.2757064,127.3808265,35085,042-581-0403,042-585-2537,시교육청,사립,Y,http://hanviths.djsch.kr
360,고,G,동대전고등학교,대전광역시 대덕구 청림길 33 (중리동),36.3563128,127.4240027,34427,042-630-6140,042-635-5908,시교육청,공립,Y,http://ddjhs.djsch.kr
367,고,G,동방고등학교,대전광역시 서구 계백로 1106 (관저동),36.2981275,127.3352838,35380,042-333-5803,042-541-0289,시교육청,사립,Y,http://dbhs.djsch.kr
371,고,G,동아마이스터고등학교,대전광역시 동구 충정로 97 (자양동),36.3436037,127.454214,34511,042-620-1111,042-624-9010,시교육청,사립,Y,http://dongahs.djsch.kr
383,고,G,명석고등학교,대전광역시 동구 우암로 380 (가양동),36.352814,127.4546028,34503,042-623-2111,042-621-0518,시교육청,사립,Y,http://mshs.djsch.kr
397,고,G,보문고등학교,대전광역시 동구 우암로 57 (삼성동),36.3368587,127.4235438,34619,042-620-6600,042-672-9571,시교육청,사립,Y,http://bomoonhs.djsch.kr
423,고,G,서대전고등학교,대전광역시 서구 월평동로 60 (월평동),36.3604929,127.3692303,35216,042-479-2023,042-488-9086,시교육청,사립,Y,http://sdjhs.djsch.kr
424,고,G,서대전여자고등학교,대전광역시 서구 배재로197번길 20 (도마동),36.327711,127.3695681,35344,042-520-6121,042-531-5905,시교육청,사립,Y,http://seodaejeonhs.djsch.kr
428,고,G,서일고등학교,대전광역시 서구 계백로828번길 30 (관저동),36.2979484,127.3237508,35377,042-543-3963,042-543-4379,시교육청,사립,Y,http://seoilhs.djsch.kr
429,고,G,서일여자고등학교,대전광역시 서구 구봉산북로 22 (관저동),36.2936852,127.3238522,35377,042-540-7749,042-543-7429,시교육청,사립,Y,http://seoil-ghs.djsch.kr
447,고,G,신탄진고등학교,대전광역시 대덕구 신탄진북로 14 (신탄진동),36.4489023,127.4370322,34308,042-602-3800,042-933-0273,시교육청,공립,Y,http://shintanjinhs.djsch.kr
472,고,G,우송고등학교,대전광역시 동구 동대전로131번길 53 (자양동),36.3350167,127.4432897,34609,042-620-5200,042-626-0061,시교육청,사립,Y,http://wshs.djsch.kr
476,고,G,유성고등학교,대전광역시 유성구 유성대로654번길 130 (구암동),36.3493198,127.3350862,34181,042-710-6154,042-824-0262,시교육청,공립,Y,http://yshs.djsch.kr
477,고,G,유성생명과학고등학교,대전광역시 유성구 월드컵대로 270 (구암동),36.3475335,127.3286331,34197,042-539-5812,042-822-7066,시교육청,공립,Y,http://ysbsths.djsch.kr
478,고,G,유성여자고등학교,대전광역시 유성구 은구비로138번길 70 (죽동),36.3837746,127.3287073,34097,042-820-1161,042-820-1199,시교육청,사립,Y,http://yuseongghs.djsch.kr
496,고,G,중일고등학교,대전광역시 유성구 배울2로 68 (관평동),36.4203804,127.3888809,34023,042-935-0356,042-935-7919,시교육청,사립,Y,http://jungilhs.djsch.kr
505,고,G,청란여자고등학교,대전광역시 중구 보문로95번길 40 (부사동),36.3105258,127.4296446,35051,042-253-8842,042-253-6928,시교육청,사립,Y,http://chranhs.djsch.kr
508,고,G,충남고등학교,대전광역시 서구 문정로 171 (둔산동),36.3500199,127.3943901,35249,042-488-8013,042-488-8019,시교육청,공립,Y,http://chungnamhs.djsch.kr
509,고,G,충남기계공업고등학교,대전광역시 중구 산성로 154 (문화동),36.3116893,127.4034104,34999,042-580-2114,042-586-7700,시교육청,공립,Y,http://chungnam-mhhs.djsch.kr
510,고,G,충남여자고등학교,대전광역시 중구 선화로43번길 77 (목동),36.3286246,127.410481,34849,042-229-3100,042-257-8444,시교육청,공립,Y,http://cnghs.djsch.kr
536,고,G,한밭고등학교,대전광역시 서구 신갈마로141번길 58 (갈마동),36.3473437,127.3646182,35277,042-601-6152,042-536-6441,시교육청,공립,Y,http://hanbaths.djsch.kr
553,고,G,호수돈여자고등학교,대전광역시 중구 선화로 50 (용두동),36.3264621,127.4146127,34859,042-221-2613,042-252-0397,시교육청,사립,Y,http://holstonhs.djsch.kr
204,기타,K,대전산업정보고등학교,대전광역시 서구 괴정로 191 (용문동),36.337093,127.3835915,35306,042-250-0099,042-537-8683,시교육청,공립,Y,http://dpsc.djsch.kr
272,기타,K,대전예지중고등학교,대전광역시 서구  도솔로 376(괴정동),36.3341924,127.3822074,35299,042-535-0736,042-532-0736,시교육청,사립,Y,http://yejihs.djsch.kr
277,기타,K,대전외국인학교,대전광역시 유성구 용산2로 77 (용산동),36.4209551,127.397038,34035,042-633-3663,042-631-5732,시교육청,사립,Y,http://www.tcis.or.kr
417,기타,K,새소리음악중·고등학교,대전광역시 서구 변동중로 24-2 (도마동),36.3271684,127.3728047,35328,042-533-6470,042-537-4200,시교육청,사립,Y,http://www.higracias.net
1,유,U,BK꿈사랑유치원,대전광역시 유성구 유성대로155번길 46-2 (교촌동),36.3109992,127.31486,34224,042-542-2537,042-545-2533,서부교육청,사립,N,
4,유,U,가수원초등학교병설유치원,대전광역시 서구 벌곡로 1359 (가수원동),36.3029292,127.3534059,35387,042-542-3516,042-541-6415,서부교육청,공립,N,
6,유,U,건양대학교부속유치원,대전광역시 서구 관저동로 158 (관저동),36.2992196,127.3403195,35365,042-541-1123,042-541-1124,서부교육청,사립,N,
7,유,U,경성유치원,대전광역시 서구 대덕대로 150 (갈마동),36.3445229,127.3771451,35265,042-522-6324,042-535-2119,서부교육청,사립,N,
10,유,U,구즉초등학교병설유치원,대전광역시 유성구  구룡달전로 34 (봉산동),36.4406044,127.3824649,34006,042-935-6009,042-935-6599,서부교육청,공립,N,
11,유,U,굿모닝유치원,대전광역시 중구 어덕마을로 84-12 (중촌동),36.33812,127.4053622,34809,042-222-2772,042-222-2774,동부교육청,사립,N,
12,유,U,그린유치원,대전광역시 유성구 구즉로 25 (송강동),36.4328034,127.384048,34011,042-934-3113,042-934-3110,서부교육청,사립,N,
13,유,U,금동유치원,대전광역시 중구 태평로152번길 63 (태평동),36.3274091,127.398068,34822,042-533-5800,042-533-2882,동부교육청,사립,N,
15,유,U,금성초등학교병설유치원,대전광역시 유성구  신성로72번길 5 (신성동),36.3894242,127.3500226,34116,042-861-8231,042-863-0709,서부교육청,공립,N,
19,유,U,기성초등학교병설유치원,대전광역시 서구 기성초교길 42 (매노동),36.248798,127.3376612,35426,042-585-4611,042-585-4605,서부교육청,공립,N,
20,유,U,꾸러기유치원,대전광역시 대덕구 오정로78번길 62 (오정동),36.3550731,127.4122326,34439,042-625-2505,042-624-2515,동부교육청,사립,N,
21,유,U,꿈나무유치원,대전광역시 동구 옻밭2길 77 (판암동),36.3208191,127.4494748,34670,042-283-1937,042-282-6800,동부교육청,사립,N,
22,유,U,꿈나무유치원,대전광역시 서구 만년남로 8 (만년동),36.3659794,127.378123,35202,042-485-5100,042-487-6203,서부교육청,사립,N,
23,유,U,꿈내리유치원,대전광역시 중구 당디로 45 (산성동),36.3087344,127.3925649,34997,042-584-6000,042 -584-5603,동부교육청,사립,N,
24,유,U,꿈내리유치원,대전광역시 서구 원도안로 242번길 24 (도안동),36.3165224,127.3446659,35354,042-546-2100,042-546-9933,서부교육청,사립,N,
25,유,U,꿈에그린유치원,대전광역시 유성구 배울2로 61 (관평동),36.4212717,127.3916929,34020,042-934-3242,042-934-3243,서부교육청,사립,N,
26,유,U,나래유치원,대전광역시 서구 정림서로 162-15 (정림동),36.3034815,127.3645633,35397,042-581-2345,042-581-2367,서부교육청,사립,N,
27,유,U,나무와숲유치원,대전광역시 동구 백룡로 65 (용운동),36.3335501,127.4529067,34519,042-283-0670,042-285-0671,동부교육청,사립,N,
28,유,U,나은유치원,대전광역시 서구 관저북로 92 (관저동),36.3098696,127.3373411,35358,042-545-3969,042-545-3970,서부교육청,사립,N,
31,유,U,남선초등학교병설유치원,대전광역시 유성구  계백로93번길 277-29 (송정동),36.2875973,127.2646212,34204,042-825-0893,042-825-0897,서부교육청,공립,N,
32,유,U,노란풍차유치원,대전광역시 서구 청사로 5 (월평동),36.3608875,127.3649494,35210,042-483-4111,042-487-3116,서부교육청,사립,N,
33,유,U,노은누리유치원,대전광역시 유성구  노은동로99번길 35(노은동),36.3688795,127.321476,34091,042-825-1496,042-824-9190,서부교육청,공립,Y,https://nenurikg.djsch.kr
34,유,U,노은유치원,대전광역시 유성구 노은서로96번길 32 (노은동),36.3682474,127.3157179,34092,042-477-7070,042-471-7071,서부교육청,사립,N,
35,유,U,녹원유치원,대전광역시 서구 계룡로 491번길 39 (둔산동),36.3472709,127.3818498,35235,042-485-6100~1,042-485-6102,서부교육청,사립,N,
36,유,U,누리유치원,대전광역시 서구 청사로 70 (월평동),36.3588693,127.3713615,35218,042-485-4697,042-485-4698,서부교육청,사립,N,
37,유,U,느리울유치원,대전광역시 서구 구봉로147번길 64 (관저동),36.2992558,127.3386734,35378,042-544-8314,042-544-8315,서부교육청,사립,N,
38,유,U,다모아유치원,대전광역시 서구 월평동로 83 (월평동),36.3620173,127.3669292,35210,042-489-2100,042-489-2101,서부교육청,사립,N,
40,유,U,대덕국제유치원,대전광역시 유성구 죽동로 326 (죽동),36.3741859,127.339262,34127,042-602-7700,042-602-7702,서부교육청,사립,N,
41,유,U,대덕대학교부속유치원,대전광역시 유성구 가정북로 68 (장동),36.390533,127.3656637,34111,042-866-0266,042-864-0266,서부교육청,사립,N,
46,유,U,대덕초등학교병설유치원,대전광역시 유성구  대덕대로556번길 102 (도룡동),36.3851645,127.3818502,34121,042-862-4339,042-861-2855,서부교육청,공립,N,
47,유,U,대자연유치원,대전광역시 서구 관저북로 52 (관저동),36.3063645,127.3386145,35359,042-545-6633,042-545-6868,서부교육청,사립,N,
48,유,U,대전가양유치원,대전광역시 동구 가양로 61 (가양동),36.3418801,127.4412412,34593,042-633-3547,042-633-6380,동부교육청,공립,Y,http://djgayangkg.djsch.kr
54,유,U,대전가오초등학교병설유치원,대전광역시 동구 신기로 112 (가오동),36.3102913,127.4586711,34680,042-281-7004,042-286-1967,동부교육청,공립,N,
57,유,U,대전가장초등학교병설유치원,대전광역시 서구 가장로 150 (가장동),36.3307119,127.388332,35311,042-533-8116,042-527-7606,서부교육청,공립,N,
58,유,U,대전갈마유치원,대전광역시 서구 월평동로 2 (갈마동),36.356774,127.3693282,35227,042-477-0664,042-477-1020,서부교육청,공립,Y,http://galmakg.djsch.kr
64,유,U,대전계산초등학교병설유치원,대전광역시 유성구  학하서로 74 (계산동),36.3433998,127.3005486,34209,042-826-6185,042-826-6184,서부교육청,공립,N,
71,유,U,대전관저초등학교병설유치원,대전광역시 서구 관저동로 161 (관저동),36.3064008,127.3399704,35359,042-544-2161,042-545-2675,서부교육청,공립,N,
74,유,U,대전관평초등학교병설유치원,대전광역시 유성구  테크노4로 132 (관평동),36.4237326,127.3870581,34021,042-671-0067,042-671-0068,서부교육청,공립,N,
78,유,U,대전교촌초등학교병설유치원,대전광역시 유성구  진잠로149번길 42 (교촌동),36.3058894,127.3168032,34225,042-544-1675,042-544-0649,서부교육청,공립,N,
82,유,U,대전구봉초등학교병설유치원,대전광역시 서구 관저로 75 (관저동),36.2997949,127.3299654,35372,042-542-0169,042-542-0194,서부교육청,공립,N,
86,유,U,대전글꽃초등학교병설유치원,대전광역시 중구 계룡로918번길 97 (문화동),36.3186792,127.4102708,34957,042-250-4781,042-251-8216,동부교육청,공립,N,
88,유,U,대전금동초등학교병설유치원,대전광역시 서구 관저로 45 (관저동),36.2977253,127.3263858,35371,042-542-3331,042-542-3335,서부교육청,공립,N,
92,유,U,대전내동초등학교병설유치원,대전광역시 서구 동서대로1063번길 13 (내동),36.3309531,127.3792636,35315,042-535-8794,042-527-7961,서부교육청,공립,N,
98,유,U,대전느리울초등학교병설유치원,대전광역시 서구 관저로 196 (관저동),36.298447,127.3441714,35381,042-544-0744,042-544-0785,서부교육청,공립,N,
111,유,U,대전대암초등학교병설유치원,대전광역시 동구 동부로55-61,36.323515,127.4571986,34664,042-280-5290,042-285-0565,동부교육청,공립,N,
114,유,U,대전대정초등학교병설유치원,대전광역시 유성구  대정로28번길 55(대정동),36.3151997,127.3233658,34219,042-540-2715,042-545-4388,서부교육청,공립,N,
118,유,U,대전대화초등학교병설유치원,대전광역시 대덕구 대화로 242-36 (대화동),36.3625497,127.4113072,34375,042-636-7127,042-626-7921,동부교육청,공립,N,
123,유,U,대전도마초등학교병설유치원,대전광역시 서구 배재로172번길 23 (도마동),36.3237958,127.3712413,35329,042-523-5235,042-532-5419,서부교육청,공립,N,
124,유,U,대전도솔유치원,대전광역시 서구 원도안로 80 (가수원동),36.3165224,127.3446659,35367,042-545-7711,042-544-0171,서부교육청,공립,Y,http://dosolkg.djsch.kr
129,유,U,대전도안초등학교병설유치원,대전광역시 서구 원도안로 200 (도안동),36.3216343,127.3446688,35355,042-543-7807,042-543-7124,서부교육청,공립,N,
136,유,U,대전동산초등학교병설유치원,대전광역시 대덕구 동산초교로63번길 50 (오정동),36.3505409,127.4215039,34432,042-623-3125,042-627-6358,동부교육청,공립,N,
141,유,U,대전동화초등학교병설유치원,대전광역시 유성구  관평2로 43 (관평동),36.4229545,127.3896168,34020,042-935-9741,042-935-9742,서부교육청,공립,N,
144,유,U,대전두리초등학교병설유치원,대전광역시 유성구  와룡로 37 (송강동),36.4292447,127.3798894,34005,042-936-0836,042-936-0838,서부교육청,공립,N,
155,유,U,대전만년초등학교병설유치원,대전광역시 서구 만년남로 14 (만년동),36.3671313,127.3772881,35202,042-482-0745,042-486-0746,서부교육청,공립,N,
160,유,U,대전목동초등학교병설유치원,대전광역시 중구 목중로19번길 70 (목동),36.3346952,127.4082543,34816,042-253-4002,042-257-5245,동부교육청,공립,N,
162,유,U,대전목상초등학교병설유치원,대전광역시 대덕구 대덕대로1486번길 117 (목상동),36.4457026,127.412451,34323,042-934-6320,042-934-6314,동부교육청,공립,N,
164,유,U,대전목양초등학교병설유치원,대전광역시 중구 목동로 69 (목동),36.3367817,127.404831,34818,042-257-9573,042-257-9592,동부교육청,공립,N,
166,유,U,대전문성초등학교병설유치원,대전광역시 중구 유등천동로292번길 89-14 (산성동),36.3088121,127.3904664,34996,042-583-5346,042-583-5344,동부교육청,공립,N,
170,유,U,대전문창유치원,대전광역시 중구 문창로 55 (부사동),36.3172917,127.4336568,35027,042-226-2036,042-256-9127,동부교육청,공립,Y,http://mchkg.djsch.kr
174,유,U,대전문화초등학교병설유치원,대전광역시 중구 문화로78번안길 70 (문화동),36.3113634,127.3980978,34992,042-585-3227,042-582-9975,동부교육청,공립,N,
177,유,U,대전반석초등학교병설유치원,대전광역시 유성구  반석동로 30 (반석동),36.3899916,127.3130729,34068,042-824-6482,042-824-6441,서부교육청,공립,N,
182,유,U,대전버드내초등학교병설유치원,대전광역시 중구 태평로 21 (태평동),36.3192504,127.3915311,34890,042-536-1868,042-532-0873,동부교육청,공립,N,
187,유,U,대전변동초등학교병설유치원,대전광역시 서구 유등로 373 (변동),36.3246095,127.3848534,35317,042-522-2391,042-527-0838,서부교육청,공립,N,
188,유,U,대전보건대학교부속유치원,대전광역시 동구 충정로 21 (가양동),36.3493291,127.4545495,34504,042-623-0210,null,동부교육청,사립,N,
195,유,U,대전봉명초등학교병설유치원,대전광역시 유성구  계룡로132번길 62 (봉명동),36.3550332,127.336964,34188,042-820-8891,042-820-8888,서부교육청,공립,N,
198,유,U,대전봉산초등학교병설유치원,대전광역시 서구 신갈마로141번길 45 (갈마동),36.345201,127.365724,35281,042-523-2342,042-531-5511,서부교육청,공립,N,
201,유,U,대전비래초등학교병설유치원,대전광역시 대덕구 우암로492번길 65 (비래동),36.3614689,127.4508244,34414,042-639-6250,042-639-6248,동부교육청,공립,N,
203,유,U,대전산성초등학교병설유치원,대전광역시 중구 대둔산로 332 (사정동),36.2992178,127.3863257,35057,042-581-7610,042-585-0380,동부교육청,공립,N,
206,유,U,대전삼성초등학교병설유치원,대전광역시 동구 대전로867번길 12 (삼성동),36.3371383,127.4287912,34623,042-627-9780,042-624-3350,동부교육청,공립,N,
211,유,U,대전삼천초등학교병설유치원,대전광역시 서구 둔산북로 232-33 (둔산동),36.3542438,127.4009634,35245,042-485-7578,042-485-7578,서부교육청,공립,N,
213,유,U,대전상대초등학교병설유치원,대전광역시 유성구  월드컵대로 322(상대동),36.3472735,127.3366076,34199,042-826-1726,042-823-2442,서부교육청,공립,N,
215,유,U,대전상원초등학교병설유치원,대전광역시 유성구  상대서로 46 (상대동),36.3417026,127.3311203,34200,042-824-8548,042-824-8547,서부교육청,공립,N,
217,유,U,대전상지초등학교병설유치원,대전광역시 유성구  노은동로 165 (지족동),36.3752309,127.3221809,34085,042-477-5983,042-477-5988,서부교육청,공립,N,
220,유,U,대전새미래초등학교병설유치원,대전광역시 유성구  지족로 168 (지족동),36.3874242,127.3131611,34074,042-828-5604,042-828-5699,서부교육청,공립,Y,http://saemiraees.djsch.kr
223,유,U,대전샘머리초등학교병설유치원,대전광역시 서구 유등로 879 (둔산동),36.3632206,127.3932818,35205,042-601-0309,042-488-8457,서부교육청,공립,N,
229,유,U,대전석교초등학교병설유치원,대전광역시 중구 대종로204번길 12 (석교동),36.3082273,127.4456738,35036,042-271-6102,042-271-6103,동부교육청,공립,N,
